year,opex_specific_variable
2022,1.0
2023,0.9995335797587064
2024,0.9990671595174129
2025,0.9986007392761195
2026,0.9974986889230243
2027,0.9963966385699292
2028,0.9952945882168341
2029,0.9941925378637392
2030,0.993090487510644
2031,0.9907189390339669
2032,0.9883473905572898
2033,0.9859758420806126
2034,0.9836042936039355
2035,0.9812327451272584
2036,0.9770944662232093
2037,0.9729561873191602
2038,0.9688179084151113
2039,0.9646796295110622
2040,0.9605413506070131
2041,0.9556115954520817
2042,0.9506818402971502
2043,0.945752085142219
2044,0.9408223299872875
2045,0.9358925748323562
2046,0.9323664843020781
2047,0.9288403937717999
2048,0.9253143032415219
2049,0.9217882127112434
2050,0.9182621221809654
